"sel","_id","gc","length","W_Bin_16-contigs.CE_108A_S70_R1_filtered.remap_cov","bestsumorder_superkingdom","bestsumorder_phylum","id"
"","0","0.4632","10458","18.8576","Eukaryota","Bacillariophyta","c_000000469226"
"","1","0.485","6784","0.9088","Eukaryota","Bacillariophyta","c_000001142935"
"","2","0.4543","9727","1.1729","Eukaryota","Bacillariophyta","c_000002591056"
"","3","0.4637","11682","1.0482","Eukaryota","Bacillariophyta","c_000002926876"
"","4","0.4526","4116","0.9538","Eukaryota","Bacillariophyta","c_000002503385"
"","5","0.4537","11060","3.3736","Eukaryota","Bacillariophyta","c_000003534447"
"","6","0.4584","51102","1.2195","Eukaryota","Bacillariophyta","c_000002749875"
"","7","0.4655","6284","1.2121","Eukaryota","Bacillariophyta","c_000005330514"
"","8","0.4597","4546","1.3938","Eukaryota","Bacillariophyta","c_000003372137"
"","9","0.454","93436","1.7267","Eukaryota","Bacillariophyta","c_000004306298"
"","10","0.4608","8963","3.1636","Eukaryota","Bacillariophyta","c_000000387092"
"","11","0.4571","123050","1.9949","Eukaryota","Bacillariophyta","c_000004430915"
"","12","0.4665","21646","17.4159","Eukaryota","Bacillariophyta","c_000002658218"
"","13","0.4513","18071","2.6656","Eukaryota","Bacillariophyta","c_000001215876"
"","14","0.4646","23149","1.3679","Eukaryota","Bacillariophyta","c_000001726473"
"","15","0.4473","4447","1.3508","Eukaryota","Bacillariophyta","c_000000607881"
"","16","0.4646","24983","1.4068","Eukaryota","Bacillariophyta","c_000001378077"
"","17","0.4639","7793","0.9038","Eukaryota","Bacillariophyta","c_000000880305"
"","18","0.4572","5199","1.4672","Eukaryota","Bacillariophyta","c_000001517824"
"","19","0.4553","11872","1.0138","Eukaryota","Bacillariophyta","c_000002021043"
"","20","0.4624","11863","1.1657","Eukaryota","Bacillariophyta","c_000003175565"
"","21","0.4534","19436","12.6364","Eukaryota","Bacillariophyta","c_000002608910"
"","22","0.4666","6607","1.0808","Eukaryota","Bacillariophyta","c_000003084797"
"","23","0.4506","8891","1.5729","no-hit","no-hit","c_000003529401"
"","24","0.4742","6118","1.6912","Eukaryota","Bacillariophyta","c_000001626386"
"","25","0.4682","9424","1.0698","Eukaryota","Bacillariophyta","c_000004172819"
"","26","0.4634","8330","1.2256","Eukaryota","Bacillariophyta","c_000004290089"
"","27","0.472","16333","0.8066","Eukaryota","Bacillariophyta","c_000004020647"
"","28","0.4561","11926","7.5143","Eukaryota","Bacillariophyta","c_000000159698"
"","29","0.4393","4687","1.4013","Eukaryota","Bacillariophyta","c_000001691898"
"","30","0.4598","8195","1.4881","Eukaryota","Eukaryota-undef","c_000003896877"
"","31","0.4541","6100","1.1097","no-hit","no-hit","c_000004501517"
"","32","0.459","53270","1.4301","Eukaryota","Bacillariophyta","c_000001912856"
"","33","0.4389","4612","1.5145","Eukaryota","Bacillariophyta","c_000000185791"
"","34","0.4422","5515","51.6617","no-hit","no-hit","c_000001782534"
"","35","0.4453","7384","1.9879","Eukaryota","Bacillariophyta","c_000001839180"
"","36","0.4615","56409","1.3586","Eukaryota","Bacillariophyta","c_000002785780"
"","37","0.4422","5818","1.307","no-hit","no-hit","c_000002916954"
"","38","0.4721","7799","1.3461","Eukaryota","Bacillariophyta","c_000002497495"
"","39","0.4563","6765","2.1718","Eukaryota","Bacillariophyta","c_000001043814"
"","40","0.4581","45337","1.0637","Eukaryota","Bacillariophyta","c_000005037867"
"","41","0.473","16086","3.5221","Eukaryota","Bacillariophyta","c_000005403231"
"","42","0.4601","19607","1.1538","Eukaryota","Bacillariophyta","c_000005083353"
"","43","0.4421","13293","3.2888","Eukaryota","Bacillariophyta","c_000000615166"
"","44","0.4567","7791","1.3717","Eukaryota","Bacillariophyta","c_000000131681"
"","45","0.4606","15948","1.6735","Eukaryota","Bacillariophyta","c_000002629753"
"","46","0.4559","50000","1.3034","Eukaryota","Bacillariophyta","c_000003219744"
"","47","0.4686","17463","1.0902","no-hit","no-hit","c_000004390845"
"","48","0.4613","12828","1.2478","Eukaryota","Bacillariophyta","c_000005123553"
"","49","0.4779","6754","0.8798","Eukaryota","Bacillariophyta","c_000000084966"
"","50","0.4691","8824","1.4575","Eukaryota","Bacillariophyta","c_000005482501"
"","51","0.4447","5253","0.9596","no-hit","no-hit","c_000003130877"
"","52","0.4564","65727","1.2337","Eukaryota","Bacillariophyta","c_000002465205"
"","53","0.4544","22961","1.5518","Eukaryota","Bacillariophyta","c_000001421823"
"","54","0.4494","9858","1.5512","Eukaryota","Bacillariophyta","c_000002511850"
"","55","0.4523","11157","1.2066","Eukaryota","Bacillariophyta","c_000002273781"
"","56","0.46","33046","1.2665","Eukaryota","Bacillariophyta","c_000005492104"
"","57","0.4733","6079","6.2894","Eukaryota","Bacillariophyta","c_000000673126"
"","58","0.4605","9618","0.9206","Eukaryota","Bacillariophyta","c_000004977937"
"","59","0.4584","43623","1.1675","Eukaryota","Bacillariophyta","c_000003744055"
"","60","0.4525","20128","3.1372","Eukaryota","Bacillariophyta","c_000000467238"
"","61","0.454","14015","1.7617","Eukaryota","Bacillariophyta","c_000004683915"
"","62","0.452","6099","2.7209","Eukaryota","Bacillariophyta","c_000004763785"
"","63","0.4589","39323","1.7694","Eukaryota","Bacillariophyta","c_000003504291"
"","64","0.4618","28984","1.276","Eukaryota","Bacillariophyta","c_000000275931"
"","65","0.4731","3164","1.5171","no-hit","no-hit","c_000000796017"
"","66","0.4585","47379","1.3759","Eukaryota","Bacillariophyta","c_000005433060"
"","67","0.461","40827","1.222","Eukaryota","Bacillariophyta","c_000002706197"
"","68","0.4641","4971","7.8214","Eukaryota","Bacillariophyta","c_000003742508"
"","69","0.4614","65237","1.4036","Eukaryota","Bacillariophyta","c_000001382933"
"","70","0.4684","27761","1.175","Eukaryota","Bacillariophyta","c_000000812514"
"","71","0.4629","41214","1.2356","Eukaryota","Bacillariophyta","c_000001301778"
"","72","0.4642","22691","8.8753","Eukaryota","Bacillariophyta","c_000001005385"
"","73","0.4676","3616","6.0564","Eukaryota","Bacillariophyta","c_000000425894"
"","74","0.4622","14495","0.9218","Eukaryota","Bacillariophyta","c_000004351951"
"","75","0.4691","7788","9.5751","Eukaryota","Bacillariophyta","c_000003629017"
"","76","0.4546","22502","1.0328","Eukaryota","Bacillariophyta","c_000002150802"
"","77","0.4659","5975","0.9642","Eukaryota","Bacillariophyta","c_000004161576"
"","78","0.456","33468","1.896","Eukaryota","Bacillariophyta","c_000003291899"
"","79","0.4644","46691","3.7811","Eukaryota","Bacillariophyta","c_000001907536"
"","80","0.4576","32898","1.2559","Eukaryota","Bacillariophyta","c_000000126788"
"","81","0.4568","13895","1.1026","Eukaryota","Eukaryota-undef","c_000000613455"
"","82","0.4592","4388","1.0251","Eukaryota","Bacillariophyta","c_000001008460"
"","83","0.4566","35678","1.8752","Eukaryota","Bacillariophyta","c_000001528740"
"","84","0.4455","11796","1.1387","Eukaryota","Bacillariophyta","c_000003514917"
"","85","0.4643","7877","1.0859","Eukaryota","Bacillariophyta","c_000003778996"
"","86","0.4659","5134","1.3046","Eukaryota","Bacillariophyta","c_000001504632"
"","87","0.472","31663","1.0517","Eukaryota","Bacillariophyta","c_000002480160"
"","88","0.4659","21062","0.8467","Eukaryota","Bacillariophyta","c_000001920886"
"","89","0.4743","5726","1.2288","Eukaryota","Bacillariophyta","c_000003005006"
"","90","0.4534","2949","1.2909","Eukaryota","Bacillariophyta","c_000001748554"
"","91","0.4587","14671","1.4683","Eukaryota","Bacillariophyta","c_000001740547"
