Organism Scientific Name	Organism Common Name	Organism Qualifier	Taxonomy id	Assembly Name	Assembly Accession	Source	Annotation	Level	Contig N50	Size	Submission Date	Gene Count	BioProject	BioSample
Batrachochytrium dendrobatidis JEL423		strain: JEL423	403673	BD_JEL423	GCA_000149865.1	GenBank	Annotation submitted by Broad Institute	Scaffold	221037	23722384	2006-10-25	8763	PRJNA13653	SAMN02953669
Spizellomyces punctatus DAOM BR117		strain: DAOM BR117	645134	S_punctatus_V1	GCA_000182565.2	GenBank	Annotation submitted by Broad Institute	Scaffold	155888	24131112	2015-07-29	9169	PRJNA37881	SAMN00716787
Batrachochytrium dendrobatidis JAM81		strain: JAM81	684364	v1.0	GCA_000203795.1	GenBank	Annotation submitted by US DOE Joint Genome Institute (JGI-PGF)	Scaffold	318114	24315081	2011-04-12	8700	PRJNA41157	SAMN02746048
Gonapodya prolifera JEL478		strain: JEL478	1344416	Ganpr1	GCA_001574975.1	GenBank	Annotation submitted by DOE Joint Genome Institute	Scaffold	63757	48794828	2016-02-26	13912	PRJNA207863	SAMN02746072
Batrachochytrium salamandrivorans		strain: AMFP13	1357716	Batr_sala_V2	GCA_002006685.2	GenBank	Annotation submitted by Broad Institute	Contig	915035	73346731	2022-12-08	10867	PRJNA311566	SAMN04485880
Anaeromyces robustus		strain: S4	1754192	Anaeromyces sp. S4 v1.0	GCA_002104895.1	GenBank	Annotation submitted by DOE Joint Genome Institute	Contig	141798	71685009	2017-04-20	13083	PRJNA330692	SAMN05421914
Piromyces finnis		strain: finn	1754191	Piromyces sp. finnis v3.0	GCA_002104945.1	GenBank	Annotation submitted by DOE Joint Genome Institute	Contig	749539	56455805	2017-04-20	11314	PRJNA330696	SAMN05421903
Neocallimastix californiae		strain: G1	1754190	Neocallimastix sp. G1 v1.0	GCA_002104975.1	GenBank	Annotation submitted by DOE Joint Genome Institute	Contig	443414	193032486	2017-04-20	21039	PRJNA262392	SAMN05428678
Rhizoclosmatium globosum		strain: JEL800	329046	Rhihy1	GCA_002104985.1	GenBank	Annotation submitted by DOE Joint Genome Institute	Contig	292246	57018351	2017-04-20	17656	PRJNA330693	SAMN05421919
Piromyces sp. E2		strain: E2	73868	PirspE2 v1.0	GCA_002157105.1	GenBank	Annotation submitted by JGI	Scaffold	2723	71019055	2017-05-24	14612	PRJNA82799	SAMN00788684
Blyttiomyces helicus		isolate: Perch Fen	388810	Blyhe1	GCA_003614705.1	GenBank	Annotation submitted by DOE Joint Genome Institute	Scaffold	6174	46468912	2018-10-04	12466	PRJNA332782	SAMN05443170
Caulochytrium protostelioides		strain: ATCC 52028	1555241	Caupr_SCcomb	GCA_003615035.1	GenBank	Annotation submitted by DOE Joint Genome Institute	Scaffold	4387	10621642	2018-10-05	3423	PRJNA421603	SAMN09741939
Caulochytrium protostelioides		strain: ATCC 52028	1555241	Caupr1	GCA_003615045.1	GenBank	Annotation submitted by DOE Joint Genome Institute	Scaffold	88443	21796879	2018-10-05	6290	PRJNA421608	SAMN08148457
Synchytrium endobioticum		strain: MB42	286115	ASM653595v1	GCA_006535955.1	GenBank	Annotation submitted by Agriculture and Agri-Food Canada	Scaffold	17164	21483073	2019-07-01	8031	PRJNA453734	SAMN08987200
Spizellomyces sp. 'palustris'		strain: CBS 455.65	117820	ASM653596v1	GCA_006535965.1	GenBank	Annotation submitted by Agriculture and Agri-Food Canada	Scaffold	173429	22937368	2019-07-01	8518	PRJNA453746	SAMN08987487
Chytriomyces confervae		strain: CBS 675.73	246404	ASM653597v1	GCA_006535975.1	GenBank	Annotation submitted by Agriculture and Agri-Food Canada	Scaffold	29705	35973405	2019-07-01	10712	PRJNA453741	SAMN08987275
Synchytrium microbalum		strain: JEL517	1806994	ASM653598v1	GCA_006535985.1	GenBank	Annotation submitted by Agriculture and Agri-Food Canada	Scaffold	425386	26244175	2019-07-01	6308	PRJNA453749	SAMN08987497
Powellomyces hirtus		strain: CBS 809.83	109895	ASM653600v1	GCA_006536005.1	GenBank	Annotation submitted by Agriculture and Agri-Food Canada	Scaffold	99497	26238698	2019-07-01	6536	PRJNA453744	SAMN08987381
Synchytrium endobioticum		strain: LEV6574	286115	ASM653604v1	GCA_006536045.1	GenBank	Annotation submitted by Agriculture and Agri-Food Canada	Contig	40485	23209196	2019-07-01	8671	PRJNA453731	SAMN08987096
Neocallimastix sp. JGI-2020a		strain: sp3	2767002	ASM1694683v1	GCA_016946835.1	GenBank	Annotation submitted by DOE Joint Genome Institute	Contig	1031807	200969634	2021-02-24	29690	PRJNA658393	SAMN15902602
Batrachochytrium salamandrivorans		strain: AMFP15/2	1357716	AMFP15.2.pb	GCA_020617195.1	GenBank	Annotation submitted by Ghent University	Scaffold	77957	34923029	2021-10-26	10528	PRJNA610831	SAMN14316978
Batrachochytrium salamandrivorans		strain: AMFP15/1	1357716	AMFP15.1.pb	GCA_020617715.1	GenBank	Annotation submitted by Ghent University	Scaffold	79662	35589761	2021-10-26	10596	PRJNA610831	SAMN14316977
Batrachochytrium salamandrivorans		strain: AMFP15/3	1357716	AMFP15.3.pb	GCA_020617725.1	GenBank	Annotation submitted by Ghent University	Scaffold	72661	38362224	2021-10-26	11591	PRJNA610831	SAMN14316979
Batrachochytrium salamandrivorans		strain: AMFP18/2	1357716	ASM2061773v1	GCA_020617735.1	GenBank	Annotation submitted by Ghent University	Scaffold	188148	40041066	2021-10-26	11411	PRJNA610831	SAMN17104242
Batrachochytrium salamandrivorans		strain: AMFP14/2	1357716	ASM2155665v1	GCA_021556655.1	GenBank	Annotation submitted by Ghent University	Contig	27733	27675237	2022-01-23	1271	PRJNA623491	SAMN14316976
Batrachochytrium salamandrivorans		strain: AMFP14/2	1357716	ASM2155666v1	GCA_021556665.1	GenBank	Annotation submitted by Ghent University	Contig	122518	41561795	2022-01-23	18326	PRJNA623492	SAMN14316976
Batrachochytrium salamandrivorans		strain: AMFP13/1	1357716	ASM2155667v1	GCA_021556675.1	GenBank	Annotation submitted by Ghent University	Contig	346311	41738742	2022-01-23	13318	PRJNA623494	SAMN14316973
Batrachochytrium salamandrivorans		strain: AMFP13/1	1357716	ASM2155670v1	GCA_021556705.1	GenBank	Annotation submitted by Ghent University	Contig	100537	36867569	2022-01-23	1722	PRJNA623493	SAMN14316973
Chytriomyces sp. MP71		strain: MP71	1882861	Chytri1	GCA_025201725.1	GenBank	Annotation submitted by DOE Joint Genome Institute	Scaffold	34310	36383760	2022-09-08	16156	PRJNA331557	SAMN05519258
Geranomyces variabilis		strain: JEL 559	109894	Gervar1	GCA_025399175.1	GenBank	Annotation submitted by DOE Joint Genome Institute	Scaffold	180595	23695997	2022-09-23	9579	PRJNA334359	SAMN05445907
Globomyces pollinis-pini		strain: Arg68	382532	Glopol1	GCA_025399215.1	GenBank	Annotation submitted by DOE Joint Genome Institute	Scaffold	39298	21646612	2022-09-23	11680	PRJNA331560	SAMN05444513
Chytriomyces cf. hyalinus JEL632		strain: JEL632	1907226	Chyhya1	GCA_025435555.1	GenBank	Annotation submitted by DOE Joint Genome Institute	Scaffold	312457	38103441	2022-09-27	15939	PRJNA346871	SAMN05920684
Chytridium lagenaria		strain: Arg66	64509	Chylag1	GCA_025449115.1	GenBank	Annotation submitted by DOE Joint Genome Institute	Contig	216171	42380874	2022-09-27	14527	PRJNA331556	SAMN05444510
Entophlyctis helioformis		strain: JEL805	281842	Enthel1	GCA_025526915.1	GenBank	Annotation submitted by DOE Joint Genome Institute	Contig	103262	30915201	2022-09-30	10408	PRJNA331558	SAMN05444511
