"sel","_id","gc","length","W_Bin_194-contigs.CE_108A_S70_R1_filtered.remap_cov","bestsumorder_superkingdom","bestsumorder_phylum","id"
"","0","0.4571","1295","4.2842","no-hit","no-hit","c_000001720215"
"","1","0.4858","1721","8.5078","Eukaryota","Bacillariophyta","c_000004841758"
"","2","0.484","1405","12.2612","no-hit","no-hit","c_000001506593"
"","4","0.4959","2073","4.4452","no-hit","no-hit","c_000003635897"
"","5","0.5191","1516","5.7922","Eukaryota","Bacillariophyta","c_000003202972"
"","6","0.4676","1713","3.3368","Eukaryota","Bacillariophyta","c_000001548092"
"","7","0.4579","2623","5.0984","no-hit","no-hit","c_000000983911"
"","8","0.4763","1180","6.6288","Eukaryota","Bacillariophyta","c_000001579578"
"","9","0.4868","2471","4.5172","Eukaryota","Bacillariophyta","c_000004453309"
"","10","0.4915","1054","6.5721","Eukaryota","Bacillariophyta","c_000001070786"
"","11","0.4934","2357","3.3886","Eukaryota","Bacillariophyta","c_000005139507"
"","12","0.4932","1681","7.7918","no-hit","no-hit","c_000000727846"
"","13","0.4932","1322","48.1808","Eukaryota","Bacillariophyta","c_000001296080"
"","14","0.474","2464","4.4501","Eukaryota","Bacillariophyta","c_000004127822"
"","15","0.478","1113","7.3917","no-hit","no-hit","c_000003081562"
"","16","0.4828","1806","5.8992","Eukaryota","Bacillariophyta","c_000000280390"
"","18","0.4763","1453","4.2953","no-hit","no-hit","c_000002711972"
"","19","0.479","1236","8.4345","Eukaryota","Bacillariophyta","c_000003418025"
"","20","0.4727","1464","6.4993","Eukaryota","Bacillariophyta","c_000003012247"
"","21","0.4557","1242","6.5201","no-hit","no-hit","c_000001055847"
"","22","0.5028","1444","4.5229","Eukaryota","Bacillariophyta","c_000001096191"
"","23","0.5069","3058","6.6975","no-hit","no-hit","c_000000942053"
"","24","0.4567","2229","4.0825","no-hit","no-hit","c_000004520160"
"","26","0.484","2911","12.8568","no-hit","no-hit","c_000002177828"
"","27","0.4887","2171","4.9424","Eukaryota","Bacillariophyta","c_000005500694"
"","28","0.4675","2958","4.8617","no-hit","no-hit","c_000002719927"
"","29","0.471","1017","9.3471","no-hit","no-hit","c_000001366242"
"","30","0.4606","1663","5.4678","no-hit","no-hit","c_000004022046"
"","31","0.4701","1355","10.8015","no-hit","no-hit","c_000001198744"
"","32","0.4829","1698","6.5595","Eukaryota","Bacillariophyta","c_000003105298"
"","33","0.4517","1231","150.9594","no-hit","no-hit","c_000003020611"
"","34","0.5119","2393","3.9302","no-hit","no-hit","c_000001510756"
"","35","0.4942","1631","6.7456","Eukaryota","Bacillariophyta","c_000004002271"
"","36","0.5246","2091","6.3056","Eukaryota","Bacillariophyta","c_000005136183"
"","37","0.507","1079","9.1168","Eukaryota","Bacillariophyta","c_000001645817"
"","38","0.4854","1302","4.7381","Eukaryota","Bacillariophyta","c_000005086887"
"","39","0.4807","1163","5.9673","Eukaryota","Bacillariophyta","c_000004332626"
"","40","0.4808","1227","7.7205","Eukaryota","Bacillariophyta","c_000003919728"
"","41","0.4956","1241","7.3014","no-hit","no-hit","c_000002647990"
"","42","0.486","2502","8.0592","Eukaryota","Bacillariophyta","c_000003415388"
"","43","0.4715","1985","4.5028","no-hit","no-hit","c_000002357441"
"","44","0.5108","2496","6.1643","no-hit","no-hit","c_000002573212"
"","45","0.4876","1333","4.0443","Eukaryota","Bacillariophyta","c_000005165083"
"","46","0.5091","1807","6.3719","Eukaryota","Bacillariophyta","c_000003524216"
"","47","0.4837","1013","7.6604","no-hit","no-hit","c_000002524862"
"","48","0.481","1212","4.3069","Eukaryota","Bacillariophyta","c_000002302729"
"","49","0.4482","1756","7.9123","Eukaryota","Bacillariophyta","c_000004437811"
"","50","0.4771","1901","5.8396","no-hit","no-hit","c_000004271854"
"","51","0.5067","1334","3.6957","no-hit","no-hit","c_000000482183"
"","52","0.4839","1368","6.7398","no-hit","no-hit","c_000001353782"
"","53","0.4839","1023","7.2502","no-hit","no-hit","c_000002497283"
"","54","0.5093","1396","27.4355","Eukaryota","Bacillariophyta","c_000002008688"
"","55","0.4908","1467","28.0286","Eukaryota","Bacillariophyta","c_000003940674"
"","56","0.4722","1099","6.3203","no-hit","no-hit","c_000000001101"
"","57","0.4742","1607","7.4213","Eukaryota","Bacillariophyta","c_000001493381"
"","58","0.4802","1287","5.7187","no-hit","no-hit","c_000002735458"
"","59","0.5069","1955","4.0957","no-hit","no-hit","c_000000258361"
"","60","0.4976","1055","3.9327","Eukaryota","Bacillariophyta","c_000002055493"
"","61","0.4746","1454","5.8501","Eukaryota","Bacillariophyta","c_000005029182"
"","62","0.5114","2452","108.3617","no-hit","no-hit","c_000001439519"
"","63","0.4733","1703","243.2184","no-hit","no-hit","c_000000380593"
"","64","0.499","1024","4.6611","no-hit","no-hit","c_000001360788"
"","65","0.439","1590","1.2314","no-hit","no-hit","c_000003904112"
"","66","0.4904","2094","6.8209","no-hit","no-hit","c_000005494720"
"","67","0.479","1948","6.1648","no-hit","no-hit","c_000004356922"
"","68","0.4774","2193","4.7082","Eukaryota","Bacillariophyta","c_000005181311"
"","69","0.4947","1233","4.4063","Eukaryota","Bacillariophyta","c_000001875857"
"","70","0.4892","1713","5.4647","Eukaryota","Bacillariophyta","c_000000882443"
"","71","0.4728","1415","7.4099","no-hit","no-hit","c_000001441844"
