Identifier    	Cytoplasmic effector	Apoplastic effector 	Non-effector        	Prediction          
SGCHY_000004-T1 	-                   	-                   	Y (0.76)           	Non-effector
SGCHY_000007-T1 	-                   	-                   	Y (0.643)           	Non-effector
SGCHY_000043-T1 	-                   	-                   	Y (0.889)           	Non-effector
SGCHY_000063-T1 	-                   	-                   	Y (0.607)           	Non-effector
SGCHY_000064-T1 	Y (0.898)           	-                   	-                   	Cytoplasmic effector
SGCHY_000077-T1 	-                   	-                   	Y (0.988)           	Non-effector
SGCHY_000106-T1 	-                   	-                   	Y (0.726)           	Non-effector
SGCHY_000120-T1 	-                   	-                   	Y (0.895)           	Non-effector
SGCHY_000122-T1 	-                   	-                   	Y (0.698)           	Non-effector
SGCHY_000168-T1 	Y (0.785)           	-                   	-                   	Cytoplasmic effector
SGCHY_000190-T1 	-                   	-                   	Y (0.524)           	Non-effector
SGCHY_000198-T1 	-                   	-                   	Y (0.76)           	Non-effector
SGCHY_000199-T1 	Y (0.631)           	-                   	-                   	Cytoplasmic effector
SGCHY_000205-T1 	Y (0.906)           	-                   	-                   	Cytoplasmic effector
SGCHY_000220-T1 	-                   	-                   	Y (0.626)           	Non-effector
SGCHY_000318-T1 	-                   	-                   	Y (0.775)           	Non-effector
SGCHY_000324-T1 	Y (0.705)           	-                   	-                   	Cytoplasmic effector
SGCHY_000327-T1 	-                   	-                   	Y (0.988)           	Non-effector
SGCHY_000336-T1 	-                   	Y (0.934)           	-                   	Apoplastic effector
SGCHY_000345-T1 	-                   	-                   	Y (0.596)           	Non-effector
SGCHY_000359-T1 	-                   	-                   	Y (0.87)           	Non-effector
SGCHY_000364-T1 	-                   	-                   	Y (0.915)           	Non-effector
SGCHY_000365-T1 	-                   	-                   	Y (0.907)           	Non-effector
SGCHY_000366-T1 	-                   	Y (0.76)           	-                   	Apoplastic effector
SGCHY_000407-T1 	-                   	-                   	Y (0.988)           	Non-effector
SGCHY_000408-T1 	-                   	-                   	Y (0.874)           	Non-effector
SGCHY_000421-T1 	Y (0.888)           	-                   	-                   	Cytoplasmic effector
SGCHY_000425-T1 	-                   	Y (0.528)           	-                   	Apoplastic effector
SGCHY_000443-T1 	-                   	-                   	Y (0.677)           	Non-effector
SGCHY_000496-T1 	-                   	-                   	Y (0.899)           	Non-effector
SGCHY_000499-T1 	Y (0.749)           	-                   	-                   	Cytoplasmic effector
SGCHY_000506-T1 	Y (0.704)           	-                   	-                   	Cytoplasmic effector
SGCHY_000508-T1 	-                   	-                   	Y (0.926)           	Non-effector
SGCHY_000529-T1 	Y (0.933)           	-                   	-                   	Cytoplasmic effector
SGCHY_000541-T1 	-                   	-                   	Y (0.927)           	Non-effector
SGCHY_000551-T1 	-                   	-                   	Y (0.554)           	Non-effector
SGCHY_000553-T1 	-                   	-                   	Y (0.585)           	Non-effector
SGCHY_000565-T1 	Y (0.512)           	-                   	-                   	Cytoplasmic effector
SGCHY_000573-T1 	Y (0.701)           	-                   	-                   	Cytoplasmic effector
SGCHY_000581-T1 	Y (0.808)           	-                   	-                   	Cytoplasmic effector
SGCHY_000611-T1 	-                   	-                   	Y (0.945)           	Non-effector
SGCHY_000657-T1 	Y (0.697)           	-                   	-                   	Cytoplasmic effector
SGCHY_000669-T1 	-                   	-                   	Y (0.884)           	Non-effector
SGCHY_000682-T1 	Y (0.723)           	-                   	-                   	Cytoplasmic effector
SGCHY_000710-T1 	-                   	-                   	Y (0.948)           	Non-effector
SGCHY_000722-T1 	Y (0.785)           	-                   	-                   	Cytoplasmic effector
SGCHY_000723-T1 	-                   	-                   	Y (0.852)           	Non-effector
SGCHY_000727-T1 	Y (0.58)           	-                   	-                   	Cytoplasmic effector
SGCHY_000728-T1 	-                   	-                   	Y (0.823)           	Non-effector
SGCHY_000729-T1 	-                   	-                   	Y (0.572)           	Non-effector
SGCHY_000730-T1 	Y (0.588)           	-                   	-                   	Cytoplasmic effector
SGCHY_000731-T1 	-                   	-                   	Y (0.67)           	Non-effector
SGCHY_000737-T1 	-                   	-                   	Y (0.538)           	Non-effector
SGCHY_000746-T1 	-                   	-                   	Y (0.904)           	Non-effector
SGCHY_000752-T1 	-                   	-                   	Y (0.574)           	Non-effector
SGCHY_000775-T1 	-                   	-                   	Y (0.546)           	Non-effector
SGCHY_000815-T1 	-                   	-                   	Y (0.744)           	Non-effector
SGCHY_000837-T1 	Y (0.971)           	-                   	-                   	Cytoplasmic effector
SGCHY_000857-T1 	Y (0.546)           	-                   	-                   	Cytoplasmic effector
SGCHY_000899-T1 	-                   	-                   	Y (0.939)           	Non-effector
SGCHY_000929-T1 	Y (0.541)           	-                   	-                   	Cytoplasmic effector
SGCHY_000943-T1 	Y (0.828)           	-                   	-                   	Cytoplasmic effector
SGCHY_000944-T1 	-                   	-                   	Y (0.901)           	Non-effector
SGCHY_000954-T1 	-                   	-                   	Y (0.616)           	Non-effector
SGCHY_000955-T1 	Y (0.517)           	-                   	-                   	Cytoplasmic effector
SGCHY_000972-T1 	-                   	-                   	Y (0.959)           	Non-effector
SGCHY_000975-T1 	-                   	-                   	Y (0.565)           	Non-effector
SGCHY_000981-T1 	Y (0.54)           	-                   	-                   	Cytoplasmic effector
SGCHY_001003-T1 	-                   	-                   	Y (0.716)           	Non-effector
SGCHY_001060-T1 	-                   	-                   	Y (0.649)           	Non-effector
SGCHY_001091-T1 	-                   	Y (0.509)           	-                   	Apoplastic effector
SGCHY_001092-T1 	Y (0.821)           	-                   	-                   	Cytoplasmic effector
SGCHY_001094-T1 	-                   	-                   	Y (0.705)           	Non-effector
SGCHY_001107-T1 	-                   	-                   	Y (0.79)           	Non-effector
SGCHY_001108-T1 	Y (0.633)           	-                   	-                   	Cytoplasmic effector
SGCHY_001150-T1 	-                   	-                   	Y (0.818)           	Non-effector
SGCHY_001151-T1 	-                   	-                   	Y (0.812)           	Non-effector
SGCHY_001152-T1 	-                   	-                   	Y (0.748)           	Non-effector
SGCHY_001190-T1 	Y (0.554)           	-                   	-                   	Cytoplasmic effector
SGCHY_001213-T1 	-                   	-                   	Y (0.521)           	Non-effector
SGCHY_001223-T1 	-                   	-                   	Y (0.984)           	Non-effector
SGCHY_001267-T1 	-                   	-                   	Y (0.552)           	Non-effector
SGCHY_001268-T1 	-                   	-                   	Y (0.536)           	Non-effector
SGCHY_001292-T1 	-                   	-                   	Y (0.975)           	Non-effector
SGCHY_001343-T1 	-                   	-                   	Y (0.962)           	Non-effector
SGCHY_001376-T1 	-                   	-                   	Y (0.642)           	Non-effector
SGCHY_001377-T1 	Y (0.54)           	Y (0.56)           	-                   	Apoplastic/cytoplasmic effector
SGCHY_001382-T1 	-                   	-                   	Y (0.929)           	Non-effector
SGCHY_001424-T1 	Y (0.667)           	-                   	-                   	Cytoplasmic effector
SGCHY_001491-T1 	-                   	-                   	Y (0.635)           	Non-effector
SGCHY_001508-T1 	Y (0.833)           	-                   	-                   	Cytoplasmic effector
SGCHY_001554-T1 	-                   	-                   	Y (0.861)           	Non-effector
SGCHY_001578-T1 	Y (0.815)           	-                   	-                   	Cytoplasmic effector
SGCHY_001579-T1 	-                   	-                   	Y (0.879)           	Non-effector
SGCHY_001598-T1 	-                   	-                   	Y (0.759)           	Non-effector
SGCHY_001608-T1 	Y (0.821)           	-                   	-                   	Cytoplasmic effector
SGCHY_001621-T1 	-                   	-                   	Y (0.985)           	Non-effector
SGCHY_001633-T1 	Y (0.522)           	-                   	-                   	Cytoplasmic effector
SGCHY_001636-T1 	Y (0.869)           	-                   	-                   	Cytoplasmic effector
SGCHY_001658-T1 	-                   	-                   	Y (0.948)           	Non-effector
SGCHY_001697-T1 	-                   	-                   	Y (0.882)           	Non-effector
SGCHY_001719-T1 	-                   	-                   	Y (0.988)           	Non-effector
SGCHY_001736-T1 	-                   	-                   	Y (0.952)           	Non-effector
SGCHY_001752-T1 	-                   	-                   	Y (0.916)           	Non-effector
SGCHY_001780-T1 	-                   	-                   	Y (0.979)           	Non-effector
SGCHY_001783-T1 	-                   	-                   	Y (0.882)           	Non-effector
SGCHY_001790-T1 	Y (0.715)           	-                   	-                   	Cytoplasmic effector
SGCHY_001809-T1 	Y (0.636)           	-                   	-                   	Cytoplasmic effector
SGCHY_001839-T1 	-                   	-                   	Y (0.788)           	Non-effector
SGCHY_001841-T1 	-                   	-                   	Y (0.562)           	Non-effector
SGCHY_001842-T1 	-                   	-                   	Y (0.861)           	Non-effector
SGCHY_001845-T1 	-                   	-                   	Y (0.864)           	Non-effector
SGCHY_001876-T1 	-                   	-                   	Y (0.901)           	Non-effector
SGCHY_001901-T1 	-                   	-                   	Y (0.962)           	Non-effector
SGCHY_001907-T1 	Y (0.523)           	-                   	-                   	Cytoplasmic effector
SGCHY_001910-T1 	-                   	-                   	Y (0.889)           	Non-effector
SGCHY_001911-T1 	Y (0.859)           	-                   	-                   	Cytoplasmic effector
SGCHY_001922-T1 	-                   	-                   	Y (0.757)           	Non-effector
SGCHY_001946-T1 	Y (0.79)           	-                   	-                   	Cytoplasmic effector
SGCHY_001953-T1 	-                   	-                   	Y (0.956)           	Non-effector
SGCHY_001955-T1 	-                   	-                   	Y (0.847)           	Non-effector
SGCHY_001977-T1 	Y (0.504)           	-                   	-                   	Cytoplasmic effector
SGCHY_001993-T1 	-                   	-                   	Y (0.565)           	Non-effector
SGCHY_002020-T1 	-                   	-                   	Y (0.803)           	Non-effector
SGCHY_002030-T1 	Y (0.64)           	-                   	-                   	Cytoplasmic effector
SGCHY_002046-T1 	-                   	-                   	Y (0.535)           	Non-effector
SGCHY_002047-T1 	-                   	-                   	Y (0.648)           	Non-effector
SGCHY_002060-T1 	-                   	-                   	Y (0.934)           	Non-effector
SGCHY_002073-T1 	-                   	-                   	Y (0.729)           	Non-effector
SGCHY_002076-T1 	-                   	-                   	Y (0.584)           	Non-effector
