Organism Scientific Name	Organism Common Name	Organism Qualifier	Taxonomy id	Assembly Name	Assembly Accession	Source	Annotation	Level	Contig N50	Size	Submission Date	Gene Count	BioProject	BioSample
Phytophthora infestans T30-4		strain: T30-4	403677	ASM14294v1	GCA_000142945.1	GenBank	Annotation submitted by Broad Institute	Scaffold	44484	228543505	2009-06-17	19344	PRJNA17665	SAMN02953670
Thalassiosira pseudonana CCMP1335		strain: CCMP1335	296543	ASM14940v2	GCA_000149405.2	GenBank	Annotation submitted by Diatom Consortium	Chromosome	1267198	32437365	2009-01-16	11771	PRJNA191	SAMN02744045
Phytophthora sojae		strain: P6497	67593	P.sojae V3.0	GCA_000149755.2	GenBank	Annotation submitted by US DOE Joint Genome Institute, USA, Walnut Creek	Scaffold	385992	82597641	2011-10-03	28142	PRJNA17989	SAMN02953656
Phaeodactylum tricornutum CCAP 1055/1		strain: CCAP 1055/1	556484	ASM15095v2	GCA_000150955.2	GenBank	Annotation submitted by Diatom Consortium	Chromosome	417209	27450724	2008-12-12	10398	PRJNA13152	SAMN02953727
Saprolegnia parasitica CBS 223.65		strain: CBS 223.65	695850	ASM15154v2	GCA_000151545.2	GenBank	Annotation submitted by Broad Institute	Scaffold	34471	53093248	2014-05-29	20435	PRJNA36583	SAMN02981252
Blastocystis hominis		isolate: Singapore isolate B (sub-type 7)	12968	ASM15166v1	GCA_000151665.1	GenBank	Annotation submitted by Genoscope - Institut de Genomique - CEA	Scaffold	296810	18817245	2010-07-06	6020	PRJEA45923	SAMEA2272370
Aureococcus anophagefferens		strain: CCMP1984	44056	v 1.0	GCA_000186865.1	GenBank	Annotation submitted by DOE Joint Genome Institute	Scaffold	34096	56660572	2011-02-15	11522	PRJNA13500	SAMN02953754
Nannochloropsis gaditana CCMP526		strain: CCMP526	1093141	ASM24072v1	GCA_000240725.1	GenBank	Annotation submitted by Colorado School of Mines	Scaffold	21340	33986952	2012-01-04	3558	PRJNA73791	SAMN02981382
Phytophthora parasitica INRA-310		strain: INRA-310	761204	PP_INRA-310_V2	GCA_000247585.2	GenBank	Annotation submitted by Broad Institute	Scaffold	24397	82389172	2013-12-19	23240	PRJNA73155	SAMN02981373
Saprolegnia diclina VS20		strain: VS20	1156394	Sap_diclina_VS20_V1	GCA_000281045.1	GenBank	Annotation submitted by Broad Institute	Scaffold	30015	62885792	2013-02-22	17448	PRJNA86859	SAMN02981407
Thalassiosira oceanica		strain: CCMP1005	159749	ThaOc_1.0	GCA_000296195.2	GenBank	Annotation submitted by DFG Cluster of Excellence 'Future Ocean'	Contig	3628	92043847	2012-07-25	34684	PRJNA36595	SAMN02981384
