OGName	Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Strain	Annotation Name	Assembly Stats Total Sequence Length	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Contig N50	Assembly Stats Scaffold N50	Assembly Sequencing Tech	Assembly Submitter	Assembly BioProject Accession	Assembly BioSample Accession	Annotation Count Gene Total	Annotation Count Gene Protein-coding	Annotation Count Gene Pseudogene	Citation	Phylum	Class	Order	Family	Genus	species	Genus Trophic Mode	Genus Guild	PhyloName	Source	fungi_odb10_Complete	fungi_odb10_Single	fungi_odb10_Duplicated	fungi_odb10_Fragmented	fungi_odb10_Missing	fungi_odb10_n_markers	eukaryota_odb10_Complete	eukaryota_odb10_Single	eukaryota_odb10_Duplicated	eukaryota_odb10_Fragmented	eukaryota_odb10_Missing	eukaryota_odb10_n_markers
GCA_027604705.1.aa	GCA_027604705.1	ASM2760470v1	Allomyces arbusculus	Burma 1F	Annotation submitted by DOE Joint Genome Institute	26482826	Scaffold	1/9/23	JADHYV01	162290	317448	Illumina NovaSeq	DOE Joint Genome Institute	PRJNA581157	SAMN13165476	9041	8889		"Amses KR et al., 2022"	Blastocladiomycota	Blastocladiomycetes	Blastocladiales	Blastocladiaceae	Allomyces 	arbusculus	Saprotroph	Undefined Saprotroph	Allomyces arbusculus Burma 1F (GCA_027604705.1)	ref	73.4	65.2	8.2	5.3	21.3	758	80	78	2	8.6	11.4	255
GCA_027604645.1.aa	GCA_027604645.1	ASM2760464v1	Allomyces javanicus	California 12	Annotation submitted by DOE Joint Genome Institute	29927322	Contig	1/9/23	JADHYU01	104684		Illumina NovaSeq	DOE Joint Genome Institute	PRJNA581158	SAMN13165567	10134	9981		"Amses KR et al., 2022"	Blastocladiomycota	Blastocladiomycetes	Blastocladiales	Blastocladiaceae	Allomyces 	javanicus	Saprotroph	Undefined Saprotroph	Allomyces javanicus California 12 (GCA_027604645.1)	ref	77.4	76.6	0.8	7.4	15.2	758	87.1	86.7	0.4	7.8	5.1	255
GCA_000151295.1.aa	GCA_000151295.1	A_macrogynus_V3	Allomyces macrogynus	ATCC 38327	Annotation submitted by Broad Institute	57060573	Scaffold	2/18/10	ACDU01	35497	1114524	ABI	Broad Institute	PRJNA20563	SAMN02953744	19282	18774	16	"Amses KR et al., 2022"	Blastocladiomycota	Blastocladiomycetes	Blastocladiales	Blastocladiaceae	Allomyces 	macrogynus	Saprotroph	Undefined Saprotroph	Allomyces macrogynus ATCC 38327 (GCA_000151295.1)	ref	86.9	23.2	63.7	2.1	11	758	92.1	23.9	68.2	3.5	4.4	255
GCA_002104895.1.aa	GCA_002104895.1	Anaeromyces sp. S4 v1.0	Anaeromyces robustus	S4	Annotation submitted by DOE Joint Genome Institute	71685009	Contig	4/20/17	MCFG01	141798		PacBio	DOE Joint Genome Institute	PRJNA330692	SAMN05421914	13083	12823	2	"Haitjema CH et al., 2017"	Neocallimastigomycota	Neocallimastigomycetes	Neocallimastigales	Neocallimastigaceae	Anaeromyces	robustus	Symbiotroph	Animal Endosymbiont	Anaeromyces robustus S4 (GCA_002104895.1)	ref	82.8	79.8	3	1.7	15.5	758	84.7	83.1	1.6	2.7	12.6	255
GCA_029704095.1.aa	GCA_029704095.1	UCR_BdCLFT071_1.0	Batrachochytrium dendrobatidis	CLFT071	"Annotation submitted by University of California, Riverside"	22218474	Scaffold	4/12/23	JAQQXB01	714040	953307	Oxford Nanopore MinION; Illumina HiSeq	"University of California, Riverside"	PRJNA913953	SAMN32315008	8721	8620		"Clemens et al, BioArxiv"	Chytridiomycota	Chytridiomycetes	Rhizophydiales		Batrachochytrium 	dendrobatidis	Pathotroph	Animal Pathogen	Batrachochytrium dendrobatidis CLFT071 (GCA_029704095.1)	ref	98.1	98	0.1	0.5	1.4	758	97.3	97.3	0	1.2	1.5	255
GCA_000149865.1.aa	GCA_000149865.1	BD_JEL423	Batrachochytrium dendrobatidis	JEL423	Annotation submitted by Broad Institute	23722384	Scaffold	10/25/06	AATT01	221037	1707251	Unknown	Broad Institute	PRJNA13653	SAMN02953669	8763	8630		"Farrer RA et al., 2017"	Chytridiomycota	Chytridiomycetes	Rhizophydiales		Batrachochytrium 	dendrobatidis	Pathotroph	Animal Pathogen	Batrachochytrium dendrobatidis JEL423 (GCA_000149865.1)	ref	82.5	73.9	8.6	4	13.5	758	92.2	82.4	9.8	4.3	3.5	255
GCA_002006685.2.aa	GCA_002006685.2	Batr_sala_V2	Batrachochytrium salamandrivorans	AMFP13	Annotation submitted by Broad Institute	73346731	Contig	12/8/22	LYON02	915035		Oxford Nanopore MinION; Illumina HiSeq	Broad Institute	PRJNA311566	SAMN04485880	10867	10867		"Farrer RA et al., 2017"	Chytridiomycota	Chytridiomycetes	Rhizophydiales		Batrachochytrium 	salamandrivorans	Pathotroph	Animal Pathogen	Batrachochytrium salamandrivorans AMFP13 (GCA_002006685.2)	ref	83.4	65.3	18.1	3.3	13.3	758	91.4	71.4	20	3.5	5.1	255
GCA_025349905.2.aa	GCA_025349905.2	Blabri1	Blastocladiella britannica	JEL711	Annotation submitted by DOE Joint Genome Institute	19075314	Scaffold	9/20/22	JAHLJW01	20944	23470	Illumina	DOE Joint Genome Institute	PRJNA331555	SAMN05444061	9490	9427	1	"Amses KR et al., 2022"	Blastocladiomycota	Blastocladiomycetes	Blastocladiales	Blastocladiaceae	Blastocladiella 	britannica	Saprotroph	Undefined Saprotroph	Blastocladiella britannica JEL711 (GCA_025349905.2)	ref	93.5	91	2.5	1.2	5.3	758	96.5	95.7	0.8	1.6	1.9	255
GCA_025594325.1.aa	GCA_025594325.1	blem_2022	Blastocladiella emersonii	ATCC 22665	"Annotation submitted by Natural History Museum, London"	32654225	Contig	10/5/22	JANHCV01	2021495		PacBio Sequel	"Natural History Museum, London"	PRJNA194096	SAMN15893246	10254	10031		"Leonard et al, 2022 Genome Bio Evo"	Blastocladiomycota	Blastocladiomycetes	Blastocladiales	Blastocladiaceae	Blastocladiella 	emersonii	Saprotroph	Undefined Saprotroph	Blastocladiella emersonii ATCC 22665 (GCA_025594325.1)	ref	95	92.2	2.8	1.1	3.9	758	98.9	96.9	2	0.4	0.7	255
GCA_003614705.1.aa	GCA_003614705.1	Blyhe1	Blyttiomyces helicus	Perch Fen	Annotation submitted by DOE Joint Genome Institute	46468912	Scaffold	10/4/18	QPFV01	6174	6675	Illumina	DOE Joint Genome Institute	PRJNA332782	SAMN05443170	12466	12167	20	"Ahrendt SR et al., 2018"	Chytridiomycota	Chytridiomycetes	Chytridiomycetes		Blyttiomyces 	helicus	Pathotroph	Plant Pathogen	Blyttiomyces helicus Perch Fen (GCA_003614705.1)	ref	38.7	38	0.7	17.4	43.9	758	42.4	41.6	0.8	18.8	38.8	255
