label	Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Strain	Assembly Stats Total Sequence Length	Assembly Stats Contig N50	Annotation Count Gene Total	Citation	Class	Order	Family	Genus	species	PhyloName	Source	eukaryota_odb10_Complete	eukaryota_odb10_Single	eukaryota_odb10_Duplicated	eukaryota_odb10_Fragmented	eukaryota_odb10_Missing	eukaryota_odb10_n_markers
GCA_001275005.1	GCA_001275005.1	Ctobinv2	Chrysochromulina tobinii	CCMP291	59073094	24114	16754		Prymnesiophyceae	Prymnesiales	Prymnesiales	Chrysochromulina	tobinii	Chrysochromulina tobinii CCMP291 (GCA_001275005.1)	GenBank	53.7	52.9	0.8	9	37.3	255
METDB_00088	METDB_00088	METDB_00088	Chrysochromulina brevifilum	UTEX LB 985					Prymnesiophyceae	Prymnesiales	Prymnesiales	Chrysochromulina	brevifilum	Chrysochromulina brevifilum UTEX LB 985 (METDB_00088)	METdb	47.1	44.7	2.4	23.1	29.8	255
METDB_00089	METDB_00089	METDB_00089	Chrysochromulina polylepis	CCMP1757					Prymnesiophyceae	Prymnesiales	Prymnesiales	Chrysochromulina	polylepis	Chrysochromulina polylepis CCMP1757 (METDB_00089)	METdb	69	56.5	12.5	16.5	14.5	255
METDB_00090	METDB_00090	METDB_00090	Chrysochromulina polylepis	UIO037					Prymnesiophyceae	Prymnesiales	Prymnesiales	Chrysochromulina	polylepis	Chrysochromulina polylepis UIO037 (METDB_00090)	METdb	25.1	22.7	2.4	12.2	62.7	255
METDB_00091	METDB_00091	METDB_00091	Chrysochromulina rotalis	UIO044					Prymnesiophyceae	Prymnesiales	Prymnesiales	Chrysochromulina	rotalis	Chrysochromulina rotalis UIO044 (METDB_00091)	METdb	56.9	51.8	5.1	13.3	29.8	255
METDB_00197	METDB_00197	METDB_00197	Haptolina ericina	CCMP281					Prymnesiophyceae	Prymnesiales	Prymnesiales	Haptolina	ericina	Haptolina ericina CCMP281 (METDB_00197)	METdb	49	43.9	5.1	20	31	255
METDB_00216	METDB_00216	METDB_00216	Imantonia sp.	Biosope_179_FL2-1					Prymnesiophyceae	Prymnesiales	Prymnesiales	Imantonia	sp.	Imantonia sp. Biosope_179_FL2-1 (METDB_00216)	METdb	71	51.8	19.2	15.7	13.3	255
METDB_00364	METDB_00364	METDB_00364	Prymnesium parvum	Texoma1					Prymnesiophyceae	Prymnesiales	Prymnesiales	Prymnesium	parvum	Prymnesium parvum Texoma1 (METDB_00364)	METdb	80.4	55.7	24.7	8.2	11.4	255
SGPRY	SGPRY	SGPRY	Prymnesium sp.	SGEUK-05					Prymnesiophyceae	Prymnesiales	Prymnesiales	Prymnesium	sp.	Prymnesium sp. SGEUK-05 (this study)	this study	34.9	34.9	0	16.1	49	255
