"sel","_id","gc","length","W_METABAT__21-contigs.CE_108A_S70_R1_filtered.remap_cov","bestsumorder_superkingdom","bestsumorder_phylum","id"
"","0","0.485","4363","25.9214","Eukaryota","Chytridiomycota","c_000000277749"
"","1","0.4805","58127","16.8155","Eukaryota","Chytridiomycota","c_000002975380"
"","2","0.4905","11720","14.2416","Eukaryota","Chytridiomycota","c_000003234487"
"","3","0.5056","15446","16.1116","Eukaryota","Chytridiomycota","c_000001103392"
"","4","0.5014","10851","15.6258","Eukaryota","Chytridiomycota","c_000001502334"
"","5","0.482","9211","14.9281","Eukaryota","Chytridiomycota","c_000002113094"
"","6","0.5261","2946","21.0774","no-hit","no-hit","c_000000026984"
"","7","0.4927","25666","15.2575","Eukaryota","Chytridiomycota","c_000000233473"
"","8","0.4864","20353","16.6231","Eukaryota","Zoopagomycota","c_000002610103"
"","9","0.4439","3830","12.206","no-hit","no-hit","c_000003976898"
"","10","0.5079","5690","16.7865","Eukaryota","Chytridiomycota","c_000001130333"
"","11","0.5177","8963","14.586","Eukaryota","Chytridiomycota","c_000000509122"
"","12","0.5342","3478","19.0805","no-hit","no-hit","c_000005314415"
"","13","0.5206","5669","15.9663","Eukaryota","Chytridiomycota","c_000000366909"
"","14","0.4656","5058","17.0275","no-hit","no-hit","c_000000281506"
"","15","0.5024","5934","16.8097","Eukaryota","Chytridiomycota","c_000002307998"
"","16","0.5443","3645","18.2214","no-hit","no-hit","c_000003449728"
"","17","0.4641","9844","18.1452","Eukaryota","Chytridiomycota","c_000005152008"
"","18","0.4685","4275","16.0465","Eukaryota","Chytridiomycota","c_000002836275"
"","19","0.5475","4696","15.3816","Eukaryota","Chytridiomycota","c_000001750542"
"","20","0.5012","3713","14.6092","Eukaryota","Chytridiomycota","c_000000067159"
"","21","0.5311","4528","14.1473","Eukaryota","Zoopagomycota","c_000000201339"
"","22","0.4921","4826","16.5725","Eukaryota","Chytridiomycota","c_000003326506"
"","23","0.496","13889","15.06","Eukaryota","Chytridiomycota","c_000002529006"
"","24","0.5192","3028","14.9032","Eukaryota","Chytridiomycota","c_000000373732"
"","25","0.4868","9444","16.4632","Eukaryota","Chytridiomycota","c_000001200776"
"","26","0.4972","12275","15.62","Eukaryota","Mucoromycota","c_000002042844"
"","27","0.4926","8594","16.5462","Eukaryota","Chytridiomycota","c_000001232699"
"","28","0.51","3457","13.7593","Eukaryota","Zoopagomycota","c_000002566239"
"","29","0.4889","10126","13.2932","Eukaryota","Chytridiomycota","c_000001732135"
"","30","0.5238","4987","14.3557","no-hit","no-hit","c_000002199704"
"","31","0.508","2624","15.4581","Eukaryota","Chytridiomycota","c_000005260165"
"","32","0.5109","5212","19.4033","Eukaryota","Chytridiomycota","c_000001056344"
"","33","0.4818","12126","15.3377","Eukaryota","Chytridiomycota","c_000000769233"
"","34","0.4992","3916","14.5909","Eukaryota","Chytridiomycota","c_000000722871"
"","35","0.4523","9507","16.5168","Eukaryota","Chytridiomycota","c_000004532875"
"","36","0.5035","62528","14.3418","Eukaryota","Mucoromycota","c_000003028461"
"","37","0.4833","3255","14.5152","Eukaryota","Chytridiomycota","c_000001159982"
"","38","0.4848","7378","18.0408","Eukaryota","Chytridiomycota","c_000002407125"
"","39","0.5225","3994","13.4464","Eukaryota","Chytridiomycota","c_000001082371"
"","40","0.5156","4207","18.0017","Eukaryota","Chytridiomycota","c_000004628156"
"","41","0.4597","8112","20.3042","Eukaryota","Chytridiomycota","c_000001199475"
"","42","0.4948","9143","16.7578","Eukaryota","Chytridiomycota","c_000002408452"
"","43","0.514","4251","18.7182","Eukaryota","Chytridiomycota","c_000001800574"
"","44","0.4641","12699","15.7541","Eukaryota","Chytridiomycota","c_000002595309"
"","45","0.4602","17446","17.3585","Eukaryota","Mucoromycota","c_000002452499"
"","46","0.4824","13117","14.653","Eukaryota","Mucoromycota","c_000004007227"
"","47","0.4905","14362","15.2985","Eukaryota","Chytridiomycota","c_000001740781"
"","48","0.4706","10692","33.2015","Eukaryota","Chytridiomycota","c_000001667032"
"","49","0.494","5672","13.5051","Eukaryota","Chytridiomycota","c_000003200793"
"","50","0.4919","13739","15.9215","Eukaryota","Cryptomycota","c_000003577505"
"","51","0.492","9263","16.0858","Eukaryota","Chytridiomycota","c_000000645924"
"","52","0.4628","14766","15.3977","Eukaryota","Chytridiomycota","c_000001816820"
"","53","0.4782","51166","14.7635","Eukaryota","Chytridiomycota","c_000002288169"
"","54","0.4346","4082","15.8126","no-hit","no-hit","c_000000903741"
"","55","0.5021","10792","14.9338","Eukaryota","Chytridiomycota","c_000001360178"
"","56","0.505","20972","25.7534","Eukaryota","Chytridiomycota","c_000003250812"
"","57","0.4852","9344","14.7753","Eukaryota","Chytridiomycota","c_000005185975"
"","58","0.4767","13327","15.8293","Eukaryota","Chytridiomycota","c_000001107770"
"","59","0.524","9812","14.1239","Eukaryota","Chytridiomycota","c_000001566740"
"","60","0.4281","27367","17.763","no-hit","no-hit","c_000000633433"
"","61","0.504","2595","15.1511","no-hit","no-hit","c_000002036454"
"","62","0.5016","10797","14.5859","no-hit","no-hit","c_000000094230"
"","63","0.5098","5934","13.0121","Eukaryota","Chytridiomycota","c_000003678351"
"","65","0.5026","4272","14.6294","no-hit","no-hit","c_000002210762"
"","66","0.4842","3383","32.2255","Eukaryota","Chytridiomycota","c_000003374714"
"","67","0.4544","4577","37.2526","no-hit","no-hit","c_000003576265"
"","68","0.5106","3731","19.2166","no-hit","no-hit","c_000000361878"
"","69","0.4948","9144","17.7394","Eukaryota","Chytridiomycota","c_000002019698"
"","70","0.4988","8865","14.7809","Eukaryota","Arthropoda","c_000001000176"
"","71","0.4826","24717","15.1971","Eukaryota","Chytridiomycota","c_000003851844"
"","72","0.5081","3143","12.6093","no-hit","no-hit","c_000002679995"
"","73","0.4656","8359","16.3153","Eukaryota","Chytridiomycota","c_000001532814"
"","74","0.5211","3301","15.1869","no-hit","no-hit","c_000000132218"
"","75","0.5389","3750","14.5411","Eukaryota","Chytridiomycota","c_000001568167"
"","76","0.4523","8126","19.3152","Eukaryota","Chytridiomycota","c_000002506735"
"","77","0.4815","26171","16.3319","Eukaryota","Chytridiomycota","c_000000088023"
"","78","0.4739","82793","15.8843","Eukaryota","Chytridiomycota","c_000000263335"
"","79","0.4843","4148","17.6034","Eukaryota","Chytridiomycota","c_000001154045"
"","80","0.5286","9472","14.3931","Eukaryota","Chytridiomycota","c_000001238842"
"","81","0.4826","19644","15.4118","Eukaryota","Chytridiomycota","c_000004253333"
"","82","0.5373","3270","17.7174","Eukaryota","Chytridiomycota","c_000004407069"
"","83","0.5047","20831","34.2647","Eukaryota","Chytridiomycota","c_000000481421"
"","84","0.4902","4980","16.4843","Eukaryota","Chytridiomycota","c_000000545177"
"","85","0.5043","9721","16.6535","Eukaryota","Chytridiomycota","c_000000831928"
"","86","0.5097","6955","22.3945","Eukaryota","Chytridiomycota","c_000004024829"
"","87","0.4754","11651","15.3711","Eukaryota","Chytridiomycota","c_000003096885"
"","88","0.4807","19724","16.6939","Eukaryota","Chytridiomycota","c_000000369310"
"","89","0.5209","5103","16.3986","no-hit","no-hit","c_000004668322"
"","90","0.4809","6320","14.9396","Eukaryota","Chytridiomycota","c_000001680501"
"","91","0.4894","8888","14.3309","Eukaryota","Chytridiomycota","c_000002306871"
"","92","0.5037","13554","15.2329","Eukaryota","Chytridiomycota","c_000003691654"
"","93","0.5011","5661","32.5178","Eukaryota","Chytridiomycota","c_000004757590"
"","94","0.4724","52717","16.7381","Eukaryota","Chytridiomycota","c_000001681586"
"","95","0.4533","15177","17.7019","Eukaryota","Chytridiomycota","c_000002465958"
"","96","0.4851","7334","16.8725","Eukaryota","Chytridiomycota","c_000000757979"
"","97","0.5118","13870","15.3704","Eukaryota","Chytridiomycota","c_000001656170"
"","98","0.4986","5457","14.823","Eukaryota","Chytridiomycota","c_000001316382"
"","99","0.515","3429","15.6288","Eukaryota","Mucoromycota","c_000003249630"
"","100","0.484","25017","14.5565","Eukaryota","Chytridiomycota","c_000003539829"
"","101","0.4916","19801","14.8112","Eukaryota","Chytridiomycota","c_000000956932"
"","102","0.4922","16021","17.2686","Eukaryota","Chytridiomycota","c_000001032467"
"","103","0.5043","2677","20.8173","no-hit","no-hit","c_000000733039"
"","104","0.4861","15510","16.476","Eukaryota","Basidiomycota","c_000002443666"
"","105","0.4874","14208","16.9609","Eukaryota","Chytridiomycota","c_000001339348"
"","106","0.5174","10226","17.6445","Eukaryota","Chytridiomycota","c_000001496677"
"","107","0.4783","13142","16.4514","Eukaryota","Platyhelminthes","c_000000305950"
"","108","0.463","42776","18.6392","Eukaryota","Chytridiomycota","c_000001501798"
"","109","0.451","2991","12.4233","Eukaryota","Chytridiomycota","c_000004773028"
"","110","0.4715","6174","15.4169","Eukaryota","Chytridiomycota","c_000000163543"
"","111","0.5244","2925","13.9566","Eukaryota","Chytridiomycota","c_000002537632"
"","112","0.49","6661","19.6349","Eukaryota","Chytridiomycota","c_000002126655"
"","113","0.4966","15780","15.8825","Eukaryota","Chytridiomycota","c_000002151624"
"","114","0.4649","36518","16.6843","Eukaryota","Chytridiomycota","c_000001592097"
"","115","0.5084","4178","15.2592","Eukaryota","Chytridiomycota","c_000000527433"
"","116","0.4597","23571","15.6261","Eukaryota","Chytridiomycota","c_000003653334"
"","117","0.4652","54148","16.3643","Eukaryota","Chytridiomycota","c_000003337111"
"","118","0.499","10651","15.798","Eukaryota","Chytridiomycota","c_000004297244"
"","119","0.5196","5733","14.259","Eukaryota","Chytridiomycota","c_000000368694"
"","120","0.4647","28124","18.2818","Eukaryota","Chytridiomycota","c_000000560787"
"","121","0.4929","28103","15.6028","Eukaryota","Chytridiomycota","c_000001427063"
"","122","0.4866","8327","15.6726","Eukaryota","Chytridiomycota","c_000002503717"
"","123","0.4915","2822","15.3682","Eukaryota","Chytridiomycota","c_000004163492"
"","124","0.4837","21528","14.208","Eukaryota","Zoopagomycota","c_000000292605"
"","125","0.5126","3543","13.2187","Eukaryota","Mucoromycota","c_000000984971"
"","126","0.4851","10995","99.8466","Eukaryota","Mucoromycota","c_000002171085"
"","127","0.4946","7637","14.5049","Eukaryota","Chytridiomycota","c_000003732320"
"","128","0.4754","12191","16.1641","Eukaryota","Chytridiomycota","c_000004733753"
"","129","0.541","2673","14.3509","Eukaryota","Chytridiomycota","c_000000224742"
"","130","0.501","5936","17.3396","Eukaryota","Endomyxa","c_000002225898"
"","131","0.4577","25226","15.5934","Eukaryota","Chytridiomycota","c_000001441344"
"","132","0.4953","19505","15.0835","Eukaryota","Chytridiomycota","c_000001383460"
"","133","0.508","21046","15.4216","Eukaryota","Mucoromycota","c_000000081713"
"","134","0.5263","5685","14.6955","Eukaryota","Chytridiomycota","c_000000456373"
"","135","0.4941","45949","17.8549","Eukaryota","Chytridiomycota","c_000003209870"
"","136","0.4843","4673","22.8996","no-hit","no-hit","c_000000439997"
"","137","0.5044","7024","15.3289","Eukaryota","Chytridiomycota","c_000000365815"
"","138","0.5199","5053","15.9163","no-hit","no-hit","c_000001819979"
"","139","0.4908","15745","18.1267","Eukaryota","Chytridiomycota","c_000000751018"
"","140","0.49","8220","16.2672","Eukaryota","Chytridiomycota","c_000001861616"
"","141","0.5008","9213","11.0728","Eukaryota","Chytridiomycota","c_000001226245"
"","142","0.4742","3549","18.4601","no-hit","no-hit","c_000000672348"
"","143","0.5004","11282","8.6049","Eukaryota","Mucoromycota","c_000000069727"
"","144","0.4815","6214","16.3173","Eukaryota","Mucoromycota","c_000003206462"
"","145","0.497","13859","15.8251","Eukaryota","Chytridiomycota","c_000004691745"
"","146","0.4561","6316","19.2912","Eukaryota","Zoopagomycota","c_000003255220"
"","147","0.5535","3821","15.3271","no-hit","no-hit","c_000000578238"
"","148","0.485","2697","20.6767","no-hit","no-hit","c_000005129752"
"","149","0.4751","39353","18.1779","Eukaryota","Chytridiomycota","c_000002625231"
"","150","0.489","14417","15.2329","Eukaryota","Chytridiomycota","c_000005275293"
"","151","0.4747","5938","14.9971","Eukaryota","Cnidaria","c_000003716812"
"","152","0.4759","11196","16.1497","Eukaryota","Zoopagomycota","c_000000680293"
"","153","0.4856","13142","16.4831","Eukaryota","Chytridiomycota","c_000000371906"
"","154","0.4874","3716","14.6806","no-hit","no-hit","c_000002280525"
"","155","0.5001","5849","16.9371","Eukaryota","Zoopagomycota","c_000000699710"
"","156","0.4946","2673","14.9779","no-hit","no-hit","c_000002353463"
"","157","0.5091","48774","15.484","Eukaryota","Chytridiomycota","c_000000839798"
"","158","0.4916","11582","15.7582","Eukaryota","Chytridiomycota","c_000000931216"
"","159","0.4904","7371","16.1271","Eukaryota","Chytridiomycota","c_000000329100"
"","160","0.5027","4587","24.3161","Eukaryota","Chytridiomycota","c_000002809113"
"","161","0.5014","5008","14.1833","no-hit","no-hit","c_000004170089"
"","162","0.484","4428","13.736","no-hit","no-hit","c_000000120010"
"","163","0.4632","7688","17.965","no-hit","no-hit","c_000001235582"
"","164","0.4931","5068","19.2522","no-hit","no-hit","c_000002126340"
"","165","0.4845","11031","15.3875","Eukaryota","Chytridiomycota","c_000001902169"
"","166","0.5069","17294","15.3657","Eukaryota","Chytridiomycota","c_000001646740"
"","167","0.4805","15375","17.3618","Eukaryota","Chytridiomycota","c_000003205035"
"","168","0.5123","2891","22.3916","Eukaryota","Mucoromycota","c_000000340986"
"","169","0.5382","7520","14.0517","Eukaryota","Zoopagomycota","c_000002231856"
"","170","0.5079","5019","13.3919","Eukaryota","Chytridiomycota","c_000003916254"
"","171","0.484","4907","15.669","no-hit","no-hit","c_000000900832"
