"sel","_id","gc","length","W_Bin_178-contigs.CE_108A_S70_R1_filtered.remap_cov","bestsumorder_superkingdom","bestsumorder_phylum","id"
"","0","0.4902","3025","7.0694","Eukaryota","Bacillariophyta","c_000002175355"
"","1","0.4827","2579","5.4564","no-hit","no-hit","c_000001304123"
"","2","0.4907","6303","7.1499","Eukaryota","Bacillariophyta","c_000000166324"
"","3","0.4631","4278","7.0304","Eukaryota","Bacillariophyta","c_000001221479"
"","4","0.4935","4065","5.0522","Eukaryota","Bacillariophyta","c_000005193582"
"","5","0.4903","2729","6.5903","Eukaryota","Bacillariophyta","c_000000598228"
"","6","0.4746","6070","6.5987","Eukaryota","Bacillariophyta","c_000005063010"
"","7","0.4784","3190","7.7759","Eukaryota","Bacillariophyta","c_000003631657"
"","8","0.4882","7763","8.6955","Eukaryota","Bacillariophyta","c_000000099608"
"","9","0.4786","7133","7.0873","Eukaryota","Bacillariophyta","c_000000248250"
"","11","0.4922","7350","6.7898","Eukaryota","Bacillariophyta","c_000002430852"
"","12","0.4787","4874","8.5109","Eukaryota","Bacillariophyta","c_000001107252"
"","13","0.4764","2416","7.6544","Eukaryota","Bacillariophyta","c_000003722786"
"","14","0.497","4704","9.4167","Eukaryota","Bacillariophyta","c_000004160849"
"","15","0.4907","3864","9.2073","no-hit","no-hit","c_000000068068"
"","16","0.4768","16626","7.3605","Eukaryota","Bacillariophyta","c_000000704805"
"","18","0.4865","6267","9.5073","Eukaryota","Bacillariophyta","c_000000200093"
"","19","0.4743","9491","5.9752","Eukaryota","Bacillariophyta","c_000000746215"
"","20","0.497","1523","5.4307","Eukaryota","Bacillariophyta","c_000003421862"
"","21","0.5046","2475","5.0853","Eukaryota","Bacillariophyta","c_000005230622"
"","22","0.4594","1700","6.0429","Eukaryota","Bacillariophyta","c_000004660187"
"","23","0.49","36584","12.3184","Eukaryota","Bacillariophyta","c_000001119399"
"","24","0.5094","2758","6.764","Eukaryota","Bacillariophyta","c_000001449863"
"","25","0.4743","1457","7.4139","no-hit","no-hit","c_000002423712"
"","26","0.4775","3853","3.8614","Eukaryota","Bacillariophyta","c_000002431100"
"","27","0.4748","3092","136.4382","no-hit","no-hit","c_000000686369"
"","28","0.4916","3340","6.8874","Eukaryota","Bacillariophyta","c_000001530427"
"","29","0.5016","3658","5.6309","Eukaryota","Bacillariophyta","c_000001626986"
"","30","0.4729","3007","9.3957","Eukaryota","Bacillariophyta","c_000002347123"
"","31","0.4785","5496","5.8513","Eukaryota","Bacillariophyta","c_000003059665"
"","32","0.4846","7801","6.4243","Eukaryota","Bacillariophyta","c_000003965042"
"","33","0.4897","9089","6.6312","Eukaryota","Bacillariophyta","c_000001730032"
"","34","0.4834","7033","5.7937","Eukaryota","Bacillariophyta","c_000003985683"
"","35","0.4892","10204","8.7508","Eukaryota","Bacillariophyta","c_000004275970"
"","36","0.4856","2741","6.1193","Eukaryota","Bacillariophyta","c_000001069205"
"","37","0.487","6668","8.6863","Eukaryota","Bacillariophyta","c_000001835794"
"","38","0.4768","6948","5.4551","no-hit","no-hit","c_000003534000"
"","39","0.4779","4363","22.3837","Eukaryota","Bacillariophyta","c_000002268966"
"","40","0.4784","4256","6.8045","Eukaryota","Bacillariophyta","c_000004318973"
"","41","0.4807","4073","7.932","Eukaryota","Bacillariophyta","c_000000144422"
"","42","0.477","8800","8.088","Eukaryota","Bacillariophyta","c_000005245380"
"","43","0.4798","44356","7.9263","Eukaryota","Bacillariophyta","c_000004892951"
"","44","0.4743","4984","7.383","Eukaryota","Bacillariophyta","c_000001284482"
"","45","0.4802","2776","6.1005","no-hit","no-hit","c_000000673560"
"","46","0.4922","4947","8.1387","Eukaryota","Bacillariophyta","c_000000428002"
"","47","0.479","2923","7.0544","Eukaryota","Bacillariophyta","c_000000837765"
"","48","0.4819","6522","6.5833","Eukaryota","Chlorophyta","c_000004846711"
"","49","0.4898","3420","4.8705","no-hit","no-hit","c_000002636402"
