"sel","_id","gc","length","METABAT__22-contigs.CE_108A_S70_R1_filtered.remap_cov","bestsumorder_superkingdom","bestsumorder_phylum","id"
"","0","0.5167","9062","3.4239","Eukaryota","Haptophyta","c_000001143380"
"","1","0.5571","13935","2.5813","no-hit","no-hit","c_000002284844"
"","2","0.5951","18072","11.5681","Eukaryota","Haptophyta","c_000000935505"
"","3","0.434","2908","1.4525","no-hit","no-hit","c_000001704770"
"","4","0.5951","7923","0.893","no-hit","no-hit","c_000003147007"
"","5","0.5977","4159","1.2443","no-hit","no-hit","c_000000945038"
"","6","0.4872","7845","5.3298","Eukaryota","Haptophyta","c_000002095880"
"","7","0.5274","8930","2.4826","no-hit","no-hit","c_000003025575"
"","8","0.5655","6638","1.1842","no-hit","no-hit","c_000001178608"
"","9","0.4942","4338","2.8451","no-hit","no-hit","c_000002646760"
"","10","0.5701","3343","20.6096","Eukaryota","Haptophyta","c_000001955487"
"","11","0.5098","7313","2.927","no-hit","no-hit","c_000001815631"
"","12","0.5402","15660","2.2561","Eukaryota","Haptophyta","c_000002456919"
"","13","0.5593","8230","1.2147","Eukaryota","Haptophyta","c_000004781730"
"","14","0.5231","5018","1.7156","no-hit","no-hit","c_000000072510"
"","15","0.4941","4216","2.1556","no-hit","no-hit","c_000000607915"
"","16","0.535","5475","1.1547","Eukaryota","Haptophyta","c_000000434336"
"","17","0.5169","5545","2.3863","Eukaryota","Haptophyta","c_000004114810"
"","18","0.4988","5882","7.737","Eukaryota","Haptophyta","c_000002571540"
"","19","0.5161","4166","4.3673","no-hit","no-hit","c_000002429370"
"","20","0.5266","5118","3.6342","Eukaryota","Chlorophyta","c_000000778431"
"","21","0.5573","4086","0.9068","Eukaryota","Haptophyta","c_000002271683"
"","22","0.5384","5704","1.1662","no-hit","no-hit","c_000003707278"
"","23","0.5015","3103","1.708","no-hit","no-hit","c_000001303249"
"","24","0.5697","13434","1.3082","Eukaryota","Haptophyta","c_000000822098"
"","25","0.5284","7371","4.8577","Eukaryota","Haptophyta","c_000000455316"
"","26","0.5425","7207","1.8701","no-hit","no-hit","c_000004570437"
"","27","0.4838","8325","7.3321","no-hit","no-hit","c_000004141097"
"","28","0.5528","3752","15.9251","no-hit","no-hit","c_000000653427"
"","29","0.5286","13622","1.6553","no-hit","no-hit","c_000001869018"
"","30","0.453","4702","3.08","no-hit","no-hit","c_000004144032"
"","31","0.5247","2758","3.0957","no-hit","no-hit","c_000003830874"
"","32","0.5017","3436","2.0731","no-hit","no-hit","c_000001119219"
"","33","0.5147","2928","38.5645","no-hit","no-hit","c_000001362093"
"","34","0.5382","8819","1.5616","Eukaryota","Haptophyta","c_000005425148"
"","35","0.4988","6993","1.295","Eukaryota","Haptophyta","c_000001455975"
"","36","0.5595","6863","2.4552","Eukaryota","Haptophyta","c_000001575762"
"","37","0.5103","6059","14.206","no-hit","no-hit","c_000001042381"
"","38","0.5053","3406","8.3523","no-hit","no-hit","c_000003406604"
"","39","0.5854","8927","1.4584","no-hit","no-hit","c_000001181556"
"","40","0.5293","9414","1.3081","no-hit","no-hit","c_000001823733"
"","42","0.4814","5312","3.3665","no-hit","no-hit","c_000000005611"
"","43","0.5481","9114","2.528","Eukaryota","Haptophyta","c_000002151847"
"","44","0.5182","15048","1.2902","Eukaryota","Haptophyta","c_000000050835"
"","45","0.551","7975","1.21","no-hit","no-hit","c_000004331245"
"","46","0.5586","4227","6.0942","no-hit","no-hit","c_000004455677"
"","47","0.5047","5502","6.7783","no-hit","no-hit","c_000004660580"
"","48","0.5549","4950","1.7125","no-hit","no-hit","c_000000909748"
"","49","0.5184","6404","1.901","no-hit","no-hit","c_000001117000"
"","50","0.4966","7989","2.9476","no-hit","no-hit","c_000001052060"
"","51","0.4888","3533","8.4158","Eukaryota","Haptophyta","c_000000236097"
"","52","0.5986","3428","1.397","no-hit","no-hit","c_000003787719"
"","53","0.4906","4217","3.4423","no-hit","no-hit","c_000002801775"
"","54","0.4944","7138","1.5757","no-hit","no-hit","c_000005464712"
"","55","0.5395","3907","2.0422","no-hit","no-hit","c_000004304681"
"","56","0.4907","2680","1.6821","no-hit","no-hit","c_000001633682"
"","57","0.4811","6331","2.0998","no-hit","no-hit","c_000000531361"
"","58","0.5297","4610","1.3158","no-hit","no-hit","c_000002512968"
"","59","0.5231","4550","1.3279","Eukaryota","Haptophyta","c_000002798607"
"","60","0.5598","17844","1.688","no-hit","no-hit","c_000000355574"
"","61","0.5806","10491","10.0688","no-hit","no-hit","c_000000404904"
"","62","0.5036","4889","2.2158","no-hit","no-hit","c_000003486423"
"","63","0.585","3870","1.653","Eukaryota","Chordata","c_000004182084"
"","64","0.5246","3437","4.4649","no-hit","no-hit","c_000000456832"
"","65","0.5456","7299","2.1913","no-hit","no-hit","c_000003440835"
"","66","0.5296","4634","2.2924","no-hit","no-hit","c_000001837775"
"","67","0.5699","4141","1.6134","no-hit","no-hit","c_000000894639"
"","68","0.5499","8299","1.4651","Eukaryota","Streptophyta","c_000003593510"
"","69","0.5422","2833","0.5291","no-hit","no-hit","c_000002076805"
"","70","0.4743","10859","11.8571","no-hit","no-hit","c_000003709618"
"","71","0.5335","6604","2.2745","Eukaryota","Haptophyta","c_000002125592"
"","72","0.4893","2626","2.1359","no-hit","no-hit","c_000001389189"
"","73","0.5329","6258","2.8006","Eukaryota","Haptophyta","c_000005408012"
"","74","0.502","4161","5.2074","Eukaryota","Eukaryota-undef","c_000004942712"
"","75","0.5102","3146","267.0267","Eukaryota","Chordata","c_000001738301"
"","76","0.5372","14019","1.8996","Eukaryota","Haptophyta","c_000002813149"
"","77","0.5075","3417","1.7571","Eukaryota","Haptophyta","c_000004118411"
"","78","0.5434","7900","1.9939","Eukaryota","Haptophyta","c_000005035759"
"","79","0.5014","4603","2.0274","Eukaryota","Haptophyta","c_000000044944"
"","80","0.5015","2929","2.5374","no-hit","no-hit","c_000004598195"
"","81","0.5708","3190","2.0564","no-hit","no-hit","c_000002432805"
"","82","0.5137","8479","3.4422","Eukaryota","Chytridiomycota","c_000000323874"
"","83","0.5667","7042","1.6057","Eukaryota","Haptophyta","c_000005262304"
"","84","0.5583","3004","2.8126","no-hit","no-hit","c_000000395176"
"","85","0.5631","6517","3.5232","no-hit","no-hit","c_000000870158"
"","86","0.5129","7740","4.0047","Eukaryota","Haptophyta","c_000001589859"
"","87","0.5683","9460","1.5181","Eukaryota","Haptophyta","c_000001933683"
"","88","0.5486","3485","0.9208","no-hit","no-hit","c_000000517089"
"","89","0.5621","3069","1.8742","Eukaryota","Haptophyta","c_000001306925"
"","90","0.5291","4542","1.3168","no-hit","no-hit","c_000000630947"
"","91","0.5376","7091","0.925","no-hit","no-hit","c_000004806752"
"","92","0.5164","6203","8.2744","no-hit","no-hit","c_000000620450"
"","93","0.5258","5496","1.9492","Eukaryota","Haptophyta","c_000000932359"
"","94","0.5286","2798","1.5961","no-hit","no-hit","c_000002486896"
"","95","0.5433","3403","1.6659","no-hit","no-hit","c_000000754216"
"","96","0.5502","4856","3.0986","Eukaryota","Haptophyta","c_000003567530"
"","97","0.4934","9994","1.5201","no-hit","no-hit","c_000004038980"
"","98","0.485","9797","2.0779","Eukaryota","Haptophyta","c_000003734274"
"","99","0.5358","6081","11.3171","no-hit","no-hit","c_000000844944"
"","100","0.5448","5125","1.3602","Eukaryota","Haptophyta","c_000002291982"
"","101","0.5719","6253","1.4216","Eukaryota","Haptophyta","c_000001369909"
"","102","0.5028","3799","2.6075","no-hit","no-hit","c_000004400305"
"","103","0.5195","4225","1.7617","no-hit","no-hit","c_000002122495"
"","104","0.5604","4461","1.9807","no-hit","no-hit","c_000005356334"
"","105","0.5538","3967","1.6645","no-hit","no-hit","c_000000482669"
"","106","0.51","4233","1.849","no-hit","no-hit","c_000003991377"
"","107","0.4916","4811","4.8969","no-hit","no-hit","c_000001139465"
"","108","0.4578","4286","3.2009","no-hit","no-hit","c_000000167750"
"","109","0.5653","7261","1.3537","no-hit","no-hit","c_000004449865"
"","110","0.5885","6707","1.0349","Eukaryota","Haptophyta","c_000003917176"
"","111","0.542","7011","2.2419","Eukaryota","Haptophyta","c_000001451374"
"","112","0.5901","4725","1.1962","Eukaryota","Haptophyta","c_000002287710"
"","113","0.557","5176","1.1007","Eukaryota","Bacillariophyta","c_000004634560"
"","114","0.5019","2684","1.6595","no-hit","no-hit","c_000003765612"
"","115","0.5807","10719","1.5376","no-hit","no-hit","c_000005188189"
"","116","0.5701","3443","0.8867","Eukaryota","Haptophyta","c_000004238536"
"","117","0.5671","6085","1.5288","no-hit","no-hit","c_000001985917"
"","118","0.5157","3878","2.1576","no-hit","no-hit","c_000000323919"
"","119","0.5445","4582","7.1408","no-hit","no-hit","c_000002885609"
"","120","0.45","8657","12.0392","Eukaryota","Haptophyta","c_000000576927"
"","121","0.4769","2724","1.5661","no-hit","no-hit","c_000005201167"
"","122","0.5261","5161","1.2643","Eukaryota","Haptophyta","c_000002242535"
"","123","0.5255","8543","2.8139","no-hit","no-hit","c_000003474249"
"","124","0.6081","9765","3.0331","Eukaryota","Haptophyta","c_000000121836"
"","125","0.5231","8734","2.5229","no-hit","no-hit","c_000004882218"
"","126","0.557","3388","2.2093","no-hit","no-hit","c_000001220172"
"","127","0.5114","6447","1.378","no-hit","no-hit","c_000002478672"
"","128","0.5402","19956","1.5653","Eukaryota","Haptophyta","c_000001704367"
"","129","0.5186","13308","1.571","Eukaryota","Haptophyta","c_000000867084"
"","130","0.5385","5794","4.8752","no-hit","no-hit","c_000003796989"
"","131","0.5789","4258","2.0885","no-hit","no-hit","c_000004129112"
"","132","0.5767","13086","2.0361","Eukaryota","Haptophyta","c_000003137408"
"","133","0.4995","6735","1.6861","no-hit","no-hit","c_000000229988"
"","134","0.5381","10800","1.4866","no-hit","no-hit","c_000002868425"
"","135","0.5833","6340","6.9696","no-hit","no-hit","c_000001429797"
"","136","0.5372","6821","2.4033","no-hit","no-hit","c_000001274927"
"","137","0.4737","4087","84.1079","no-hit","no-hit","c_000003941098"
"","138","0.4996","5665","2.0147","no-hit","no-hit","c_000001040637"
"","139","0.5273","7091","1.8921","Eukaryota","Mollusca","c_000004745033"
"","140","0.4961","5003","8.309","no-hit","no-hit","c_000003604302"
"","141","0.51","6023","3.6591","no-hit","no-hit","c_000000216189"
"","142","0.5318","5258","5.8692","no-hit","no-hit","c_000000615152"
"","143","0.5278","3128","1.7084","Eukaryota","Haptophyta","c_000002879441"
"","144","0.5595","4881","8.646","Eukaryota","Haptophyta","c_000001981759"
"","145","0.5154","10762","10.6742","no-hit","no-hit","c_000002402289"
"","146","0.5137","5618","18.8784","Eukaryota","Haptophyta","c_000004727947"
"","147","0.5964","18416","2.0375","Eukaryota","Haptophyta","c_000001477921"
"","148","0.5853","2573","1.8372","no-hit","no-hit","c_000002552765"
"","149","0.5783","3424","1.7859","Eukaryota","Haptophyta","c_000000832661"
"","150","0.5183","4486","3.7662","Eukaryota","Haptophyta","c_000002853024"
"","151","0.5166","4630","4.1646","no-hit","no-hit","c_000000160966"
"","152","0.4863","2622","1.9767","no-hit","no-hit","c_000001374491"
"","153","0.5759","7090","3.4714","Eukaryota","Haptophyta","c_000001227497"
"","154","0.5747","6748","6.5674","Eukaryota","Haptophyta","c_000003096163"
"","155","0.5381","12541","2.587","Eukaryota","Haptophyta","c_000002571078"
"","156","0.5008","7314","2.7477","no-hit","no-hit","c_000000665803"
"","157","0.5706","3929","2.7597","no-hit","no-hit","c_000005169922"
"","158","0.516","5985","2.0777","no-hit","no-hit","c_000003904325"
"","159","0.4631","4001","3.5781","no-hit","no-hit","c_000003267070"
"","160","0.5113","5169","26.7317","Eukaryota","Eukaryota-undef","c_000003167105"
"","161","0.5282","4758","1.7982","no-hit","no-hit","c_000001581556"
"","162","0.5673","3809","1.095","no-hit","no-hit","c_000003832359"
"","163","0.5711","4574","1.6008","Eukaryota","Haptophyta","c_000000263876"
"","164","0.4981","3594","8.3194","no-hit","no-hit","c_000002268207"
"","165","0.5655","5770","1.8556","no-hit","no-hit","c_000002567467"
"","166","0.5139","3049","2.0177","no-hit","no-hit","c_000004251208"
"","167","0.5683","14743","1.6398","Eukaryota","Haptophyta","c_000004099975"
"","168","0.4901","5597","2.7182","no-hit","no-hit","c_000002852133"
"","169","0.6086","8197","0.8007","Eukaryota","Haptophyta","c_000001830563"
"","170","0.5869","2970","1.437","Eukaryota","Haptophyta","c_000000641265"
"","171","0.5686","5434","1.2413","Eukaryota","Haptophyta","c_000001271810"
"","172","0.4392","2655","22.3518","no-hit","no-hit","c_000002648266"
"","173","0.5457","6289","2.1988","no-hit","no-hit","c_000003201597"
"","174","0.5056","5603","1.4988","no-hit","no-hit","c_000002492584"
"","175","0.5902","4219","1.3242","no-hit","no-hit","c_000003696682"
"","177","0.5121","4146","2.74","no-hit","no-hit","c_000001871778"
"","178","0.501","11056","1.4302","no-hit","no-hit","c_000002769216"
"","179","0.5485","4986","1.2357","no-hit","no-hit","c_000000605982"
"","180","0.5378","7737","3.807","Eukaryota","Haptophyta","c_000002551324"
"","182","0.5386","3702","1.4638","no-hit","no-hit","c_000001428378"
"","183","0.4833","5291","3.8781","no-hit","no-hit","c_000001228359"
"","184","0.5826","3658","1.4759","no-hit","no-hit","c_000001873568"
"","185","0.5678","3475","23.2889","no-hit","no-hit","c_000000601866"
"","186","0.5542","13554","1.4799","Eukaryota","Haptophyta","c_000003208910"
"","187","0.535","6891","3.4522","no-hit","no-hit","c_000004503133"
"","188","0.574","8482","1.8421","no-hit","no-hit","c_000001900798"
"","189","0.5583","3138","1.6785","no-hit","no-hit","c_000002235697"
"","190","0.4904","4301","1.1911","no-hit","no-hit","c_000000902344"
"","191","0.5684","2794","2.2097","Eukaryota","Haptophyta","c_000000615448"
"","192","0.575","8144","1.7501","no-hit","no-hit","c_000002621429"
"","193","0.5836","2536","0.9267","Eukaryota","Haptophyta","c_000003189231"
"","194","0.5263","3536","2.2955","Eukaryota","Bacillariophyta","c_000002035855"
"","195","0.5623","8150","1.1914","Eukaryota","Haptophyta","c_000004671643"
"","196","0.5315","6081","26.2447","Eukaryota","Haptophyta","c_000003175412"
"","197","0.5662","7465","1.7069","no-hit","no-hit","c_000004147830"
"","198","0.4793","7769","1.4581","Eukaryota","Haptophyta","c_000000927559"
"","199","0.4876","4100","6.6161","no-hit","no-hit","c_000003028021"
"","200","0.4956","3894","2.3351","Eukaryota","Haptophyta","c_000005137993"
"","201","0.5699","4894","1.8821","Eukaryota","Haptophyta","c_000004331171"
"","202","0.548","4263","15.3868","no-hit","no-hit","c_000000076665"
"","203","0.5192","9253","14.1263","no-hit","no-hit","c_000003087820"
"","204","0.5046","11968","2.4547","Eukaryota","Haptophyta","c_000001274801"
"","205","0.5065","4750","3.812","Eukaryota","Haptophyta","c_000002412648"
"","207","0.5486","8953","9.2159","Eukaryota","Haptophyta","c_000002949293"
"","208","0.5043","5556","8.5976","Eukaryota","Haptophyta","c_000002493524"
"","209","0.478","4665","4.3228","no-hit","no-hit","c_000003295524"
